quad_no,Row,1,2,3,4,5,6,7,8,9,10
1,10,Nardstri,Cardpalu,Festrubr,Nardstri,Festrubr,Festrubr,Festrubr,Nardstri,Nardstri,Nardstri
1,20,Nardstri,Nardstri,Carenigr,Holclana,Nardstri,Nardstri,Agrocapi,Nardstri,Nardstri,Nardstri
1,30,Nardstri,Holclana,Carenigr,Nardstri,Nardstri,Nardstri,Festovin,Nardstri,Nardstri,Nardstri
1,40,Holclana,Holclana,Nardstri,Festovin,Nardstri,Carenigr,Carenigr,Carenigr,Nardstri,Carenigr
1,50,Holclana,Holclana,Agrocapi,Festovin,Nardstri,Nardstri,Agrocapi,Carenigr,Carepani,Nardstri
1,60,Agrocapi,Holclana,Holclana,Nardstri,Nardstri,Nardstri,Festovin,Festrubr,Nardstri,Nardstri
1,70,Anthodor,Anthodor,Holclana,Nardstri,Junceffu,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri
1,80,Festrubr,Festrubr,Festrubr,Holclana,Agrocapi,Festrubr,Nardstri,Nardstri,Nardstri,Nardstri
1,90,Desccesp,Nardstri,Desccesp,Anthodor,Holclana,Holclana,Holclana,Holclana,Agrocapi,Agrocapi
1,100,Desccesp,Desccesp,Desccesp,Festrubr,Holclana,Nardstri,Nardstri,Holclana,Desccesp,Festrubr
,,,,,,,,,,,
2,10,Poaprat,Junccong,Poaprat,Desccesp,Desccesp,Poaprat,Poaprat,Ceraarve,Poaprat,Cirspalu
2,20,Poaprat,Poaprat,Junccong,Ceraarve,Desccesp,Poaprat,Poaprat,Ceraarve,Poaprat,Cirspalu
2,30,Ceraarve,Poaprat,Junccong,Poaprat,Nardstri,Poaprat,Poaprat,Festovin,Junccong,Junccong
2,40,Junccong,Poaprat,Poaprat,Poaprat,Anthodor,Nardstri,Nardstri,Poaprat,Junccong,Junccong
2,50,Poaprat,Poaprat,Holclana,Holclana,Holclana,Holclana,Nardstri,Nardstri,Agrocapi,Holclana
2,60,Poaprat,Poaprat,Poaprat,Holclana,Nardstri,Nardstri,Poaprat,Poaprat,Poaprat,Poaprat
2,70,Poaprat,Poaprat,Poaprat,Holclana,Holclana,Poaprat,Poaprat,Poaprat,Poaprat,Ceraarve
2,80,Poaprat,Poaprat,Poaprat,Junccong,Junccong,Holclana,Holclana,Holclana,Holclana,Junccong
2,90,Poaprat,Poaprat,Poaprat,Festrubr,Holclana,Festrubr,Festrubr,Poaprat,Festrubr,Festrubr
2,100,Poaprat,Poaprat,Poaprat,Desccesp,Desccesp,Poaprat,Poaprat,Poaprat,Poaprat,Ceraarve
,,,,,,,,,,,
3,10,Holclana,Nardstri,Nardstri,Junceffu,Festrubr,Anthodor,Carenigr,Carenigr,Carenigr,Carenigr
3,20,Anthodor,Nardstri,Festrubr,Festrubr,Agrocapi,Carenigr,Anthodor,Agrocapi,Agrocapi,Agrocapi
3,30,Anthodor,Anthodor,Festrubr,Festrubr,Anthodor,Agrocapi,Holclana,Agrocapi,Agrocapi,Agrocapi
3,40,Junceffu,Junceffu,Carenigr,Anthodor,Anthodor,Anthodor,Festrubr,Anthodor,Carenigr,Agrocapi
3,50,Junceffu,Anthodor,Anthodor,Anthodor,Rumeacet,Carenigr,Anthodor,Nardstri,Nardstri,Nardstri
3,60,Junceffu,Junceffu,Anthodor,Anthodor,Anthodor,Anthodor,Carenigr,Luzumult,Luzumult,Galisaxa
3,70,Junceffu,Junceffu,Anthodor,Anthodor,Luzumult,Luzumult,Galisaxa,Galisaxa,Luzumult,Galisaxa
3,80,Anthodor,Anthodor,Descflex,Anthodor,Nardstri,Nardstri,Nardstri,Galisaxa,Galisaxa,Taraxacu
3,90,Festrubr,Anthodor,Anthodor,Nardstri,Nardstri,Galisaxa,Anthodor,Nardstri,Nardstri,Nardstri
3,100,Holclana,Anthodor,Anthodor,Nardstri,Galisaxa,Galisaxa,Nardstri,Nardstri,Molicaer,Molicaer
,,,,,,,,,,,
4,10,Molicaer,Carenigr,Molicaer,Festovin,Carenigr,Carenigr,Carenigr,Molicaer,Molicaer,Molicaer
4,20,Festovin,Festovin,Carenigr,Anthodor,Anthodor,Molicaer,Galisaxa,Galisaxa,Carenigr,Poaannu
4,30,Molicaer,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Festovin,Festovin,Polycomm
4,40,Molicaer,Carenigr,Carenigr,Festovin,Carenigr,Carenigr,DEAD,Carenigr,Carenigr,Poaannu
4,50,Molicaer,Carenigr,Carenigr,Festovin,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
4,60,Carenigr,Carenigr,Carenigr,Festovin,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
4,70,Carenigr,Carenigr,Carenigr,Festovin,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
4,80,Molicaer,Molicaer,Carenigr,Carenigr,Festovin,Carenigr,Festovin,Molicaer,Molicaer,Carenigr
4,90,Molicaer,Molicaer,DEAD,Carenigr,Descflex,Molicaer,Carenigr,Molicaer,Molicaer,Carenigr
4,100,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Festovin,Festovin,Molicaer,Festovin
,,,,,,,,,,,
5,10,Juncsqua,Molicaer,Molicaer,Descflex,Nardstri,Molicaer,Carenigr,Juncsqua,Juncsqua,Molicaer
5,20,Juncsqua,Juncsqua,Juncsqua,Molicaer,Molicaer,Juncsqua,Anthodor,Descflex,Juncsqua,Juncsqua
5,30,Juncsqua,Molicaer,Molicaer,Molicaer,Molicaer,Juncsqua,Nardstri,Anthodor,Juncsqua,Molicaer
5,40,Juncsqua,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Anthodor,Molicaer,Festovin,Molicaer
5,50,Nardstri,Nardstri,Nardstri,ROCK,Festovin,Juncsqua,Juncsqua,Juncsqua,Festovin,Anthodor
