quad_no,Row,10,20,30,40,50,60,70,80,90,100
1,10,Agrocapi,Nardstri,Carenigr,DEAD,Holclana,Carenigr,Nardstri,Holclana,Carepani,Carepani
1,20,Holclana,Holclana,Agrocapi,Nardstri,Anthodor,Carenigr,DEAD,DEAD,Holclana,Carepani
1,30,Festovin,Carenigr,Festrubr,Carenigr,Holclana,Holclana,Nardstri,Holclana,Carepani,Agrocapi
1,40,Agrocapi,Nardstri,Carenigr,Carenigr,Agrocapi,Nardstri,Nardstri,Holclana,Carenigr,Holclana
1,50,Festrubr,Nardstri,Nardstri,Holclana,Agrocapi,Carenigr,Carenigr,Nardstri,Holclana,Holclana
1,60,Nardstri,Festrubr,Festrubr,Holclana,Agrocapi,Agrocapi,Festovin,Nardstri,Carenigr,Carenigr
1,70,Poteerec,Poteerec,Festrubr,Holclana,Agrocapi,Anthodor,Anthodor,Carenigr,Carenigr,Carenigr
1,80,Desccesp,Anthodor,Anthodor,Festrubr,Festrubr,Holclana,Molicaer,Poteerec,Anthodor,Holclana
1,90,Poteerec,Desccesp,Nardstri,Holclana,Carenigr,Desccesp,Nardstri,Festrubr,Carenigr,Holclana
1,100,Nardstri,Nardstri,Festrubr,Holclana,Carenigr,Holclana,Holclana,Nardstri,Desccesp,Festrubr
,,,,,,,,,,,
2,10,Junccong,Festrubr,Junccong,Ceraarve,Ceraarve,Trifrepe,Holclana,Poaprat,Cirspalu,Poaprat
2,20,Anthodor,Anthodor,Sphapalu,Desccesp,Juncarti,Ceraarve,Juncarti,Carenigr,Holclana,Junccong
2,30,Poaprat,Junccong,Holclana,Junccong,Poaprat,Festrubr,Festrubr,Poaprat,Festrubr,Poaprat
2,40,Junccong,Holclana,Holclana,Holclana,Poteerec,Anthodor,Holclana,Nardstri,Anthodor,Festrubr
2,50,Cardprat,Holclana,Poaprat,Poaprat,Nardstri,Nardstri,Poaprat,Poaprat,Poaprat,Poaprat
2,60,Ceraarve,Holclana,Cardprat,Poaprat,Anthodor,Holclana,Nardstri,Holclana,Anthodor,Holclana
2,70,Holclana,Holclana,Holclana,Poaprat,Nardstri,Junccong,Holclana,Holclana,Holclana,Poaprat
2,80,Holclana,Holclana,Carenigr,Festrubr,Holclana,Junccong,Holclana,Holclana,Holclana,Holclana
2,90,Holclana,Holclana,Festrubr,Holclana,Festrubr,Juncarti,Agrocapi,Holclana,Juncarti,Juncarti
2,100,Holclana,Holclana,Agrocapi,Poaprat,Poaprat,Desccesp,Juncarti,Holclana,Juncarti,Poaprat
,,,,,,,,,,,
3,10,Nardstri,Holclana,Junceffu,Anthodor,Carenigr,Festrubr,Festrubr,Festrubr,Anthodor,Festovin
3,20,Carenigr,Carenigr,Junceffu,Molicaer,Anthodor,Galisaxa,Festrubr,Junceffu,Junceffu,Anthodor
3,30,Agrocapi,Agrocapi,Anthodor,Anthodor,Festrubr,Anthodor,Festrubr,Junceffu,Anthodor,Anthodor
3,40,Junceffu,Agrocapi,Anthodor,Rumeacet,Junceffu,Rumeacet,Junceffu,Poaprat,Agrocapi,Carenigr
